GRID_ID,Truth,Output
AA-13,0,1
AA-14,0,1
AA-20,1,1
AA-24,1,1
AA-29,1,1
AA-36,1,1
AA-38,1,1
AA-40,1,1
AA-44,1,1
AA-47,1,0
AA-51,0,0
AA-54,0,0
AA-62,0,0
AA-65,0,0
AA-66,0,0
AA-67,0,0
AA-84,0,0
AA-90,1,1
AB-12,0,1
AB-14,1,1
AB-15,1,1
AB-20,1,1
AB-21,1,1
AB-29,1,1
AB-30,1,1
AB-34,1,1
AB-37,1,1
AB-38,1,1
AB-39,1,1
AB-4,1,1
AB-51,0,0
AB-52,0,0
AB-53,0,0
AB-60,0,0
AB-65,0,0
AB-74,0,0
AB-84,0,1
AB-85,0,0
AB-89,1,0
AB-9,0,0
AB-90,1,0
AB-92,1,0
AB-95,1,0
AB-97,1,0
AB-98,0,0
AC-15,1,1
AC-16,1,1
AC-20,1,1
AC-26,1,1
AC-32,1,1
AC-34,1,1
AC-41,1,1
AC-49,0,1
AC-5,1,1
AC-50,0,0
AC-56,0,0
AC-59,0,0
AC-65,0,0
AC-68,0,0
AC-73,0,0
AC-80,0,0
AC-82,0,0
AC-94,1,1
AC-97,0,1
AD-13,1,1
AD-2,1,1
AD-22,1,1
AD-3,1,1
AD-40,1,1
AD-49,0,1
AD-50,0,0
AD-68,0,0
AD-7,1,1
AD-73,0,0
AD-77,0,0
AD-78,0,0
AD-79,0,0
AD-84,0,0
AD-86,1,1
AD-88,1,1
AD-89,1,1
AD-99,0,0
AE-10,1,1
AE-20,1,1
AE-34,1,1
AE-39,1,1
AE-4,1,1
AE-41,1,1
AE-70,0,0
AE-72,0,0
AE-83,1,0
AE-99,0,1
AF-15,1,1
AF-17,1,1
AF-19,1,1
AF-2,1,1
AF-22,1,1
AF-38,1,1
AF-39,1,1
AF-53,0,0
AF-60,0,0
AF-69,0,0
AF-76,0,0
AF-78,0,0
AF-79,0,0
AF-82,1,1
AF-86,1,1
AF-9,1,1
AF-94,1,1
AF-96,0,1
AF-97,0,1
AF-98,0,1
AG-16,1,1
AG-17,1,1
AG-25,1,1
AG-27,1,1
AG-32,1,1
AG-33,1,1
AG-37,1,1
AG-40,1,1
AG-41,1,1
AG-42,1,1
AG-44,1,1
AG-45,1,1
AG-58,0,0
AG-6,1,1
AG-63,0,0
AG-65,0,0
AG-66,0,0
AG-67,0,0
AG-75,0,0
AG-77,0,0
AG-79,1,1
AG-86,1,1
AG-93,1,1
AG-94,0,1
AG-95,0,1
AH-10,1,1
AH-12,1,1
AH-13,1,1
AH-18,1,1
AH-24,1,1
AH-34,1,1
AH-35,1,1
AH-40,1,1
AH-42,1,1
AH-44,1,1
AH-48,0,0
AH-5,1,1
AH-53,0,0
AH-59,0,0
AH-6,1,1
AH-60,0,0
AH-61,0,0
AH-68,0,0
AH-72,0,0
AH-79,1,1
AH-8,1,1
AH-82,1,1
AH-90,1,1
AH-93,0,1
AI-19,1,1
AI-24,1,1
AI-26,1,1
AI-34,1,1
AI-38,1,1
AI-4,1,1
AI-42,1,1
AI-44,1,1
AI-50,0,0
AI-51,0,0
AI-53,0,0
AI-59,0,0
AI-6,1,1
AI-61,0,0
AI-65,0,0
AI-7,1,1
AI-77,1,1
AI-80,1,1
AI-85,1,1
AI-90,1,1
AI-93,0,1
AI-94,0,1
AI-95,0,0
AJ-17,1,1
AJ-19,1,1
AJ-27,1,1
AJ-35,1,1
AJ-41,1,1
AJ-5,1,1
AJ-65,0,0
AJ-69,0,0
AJ-7,1,1
AJ-70,0,0
AJ-76,0,0
AJ-77,1,0
AJ-8,1,1
AJ-80,1,1
AJ-87,1,1
AJ-92,0,0
AJ-97,0,0
AK-16,1,1
AK-22,1,1
AK-34,1,1
AK-38,1,1
AK-46,0,0
AK-49,0,0
AK-5,1,1
AK-56,0,0
AK-57,0,0
AK-59,0,0
AK-6,1,1
AK-65,0,0
AK-78,1,0
AK-81,1,1
AL-12,1,1
AL-20,1,1
AL-22,1,1
AL-28,1,1
AL-30,1,1
AL-31,1,1
AL-39,1,1
AL-41,1,1
AL-45,0,1
AL-56,0,0
AL-71,0,0
AL-72,0,0
AL-75,0,0
AL-79,0,0
AL-81,0,1
AL-85,1,1
AL-86,1,1
AL-89,1,1
AL-92,0,0
AL-95,0,0
AM-16,1,1
AM-17,1,1
AM-23,1,1
AM-28,1,1
AM-29,1,1
AM-31,1,1
AM-34,1,1
AM-37,1,1
AM-40,1,1
AM-42,1,1
AM-46,0,0
AM-49,0,0
AM-5,1,1
AM-51,0,0
AM-56,0,0
AM-58,0,0
AM-59,0,0
AM-60,0,0
AM-66,0,0
AM-68,0,0
AM-72,0,0
AM-81,0,1
AM-86,1,1
AM-98,0,0
AN-12,1,1
AN-17,1,1
AN-21,1,1
AN-24,1,1
AN-25,1,1
AN-28,1,1
AN-29,1,1
AN-34,1,1
AN-35,1,1
AN-47,0,0
AN-48,0,0
AN-67,0,0
AN-74,0,0
AN-75,0,0
AN-76,0,0
AN-86,1,1
AN-93,0,0
AN-95,0,0
AN-99,0,0
AO-18,1,1
AO-2,1,1
AO-20,1,1
AO-30,1,1
AO-31,1,1
AO-32,1,1
AO-36,1,1
AO-38,1,1
AO-44,0,0
AO-5,1,1
AO-59,0,0
AO-67,0,0
AO-72,0,0
AO-77,0,0
AO-82,0,0
AO-84,0,1
AO-86,0,0
AO-88,0,0
AO-97,0,0
AO-99,0,0
AP-15,1,1
AP-31,1,1
AP-32,1,1
AP-34,1,1
AP-38,1,1
AP-39,1,1
AP-48,0,0
AP-52,0,0
AP-57,0,0
AP-60,0,0
AP-61,0,0
AP-62,0,0
AP-82,0,0
AP-83,0,0
AP-89,0,0
AP-90,0,0
AP-92,0,0
AP-93,0,0
AP-95,0,0
AP-97,0,0
AQ-17,1,1
AQ-18,1,1
AQ-19,1,1
AQ-24,1,1
AQ-3,1,1
AQ-31,1,1
AQ-34,1,1
AQ-39,1,1
AQ-46,0,0
AQ-49,0,0
AQ-57,0,0
AQ-60,0,0
AQ-67,0,0
AQ-72,0,0
AQ-85,0,0
AQ-94,0,0
AR-10,1,1
AR-11,1,1
AR-14,1,1
AR-16,1,1
AR-21,1,1
AR-28,1,1
AR-33,1,1
AR-35,1,1
AR-37,1,1
AR-38,1,1
AR-4,1,1
AR-40,1,1
AR-43,1,1
AR-5,1,1
AR-51,0,0
AR-53,0,0
AR-56,0,0
AR-74,0,0
AR-75,0,0
AR-79,0,0
AR-8,1,1
AR-88,0,0
AR-89,0,0
AR-91,0,0
AR-96,0,0
AS-10,1,1
AS-12,1,1
AS-28,1,1
AS-38,1,1
AS-4,1,1
AS-40,1,1
AS-44,0,1
AS-5,1,1
AS-58,0,0
AS-59,0,0
AS-6,1,1
AS-71,0,0
AS-74,0,0
AS-76,0,0
AS-77,0,0
AS-78,0,0
AS-95,0,0
AT-11,1,1
AT-19,1,1
AT-20,1,1
AT-24,1,1
AT-30,1,1
AT-33,1,1
AT-4,1,1
AT-50,0,0
AT-52,0,0
AT-54,0,0
AT-55,0,0
AT-62,0,0
AT-63,0,0
AT-7,1,1
AT-76,0,0
AT-78,0,0
AT-86,0,0
AT-87,0,0
AT-88,0,0
AT-90,0,0
AT-96,0,0
AT-97,0,0
AT-99,0,0
AU-13,1,1
AU-24,1,1
AU-27,1,1
AU-35,1,1
AU-36,1,1
AU-38,1,1
AU-50,0,0
AU-51,0,0
AU-52,0,0
AU-54,0,0
AU-59,0,0
AU-60,0,0
AU-74,0,0
AU-8,1,1
AU-81,0,0
AU-89,0,0
AU-93,0,0
AV-10,1,1
AV-14,1,1
AV-15,1,1
AV-16,1,1
AV-20,1,1
AV-23,1,1
AV-30,1,1
AV-32,1,1
AV-35,1,1
AV-4,1,1
AV-40,1,1
AV-5,1,1
AV-54,0,0
AV-6,1,1
AV-7,1,1
AW-10,1,1
AW-11,1,1
AW-13,1,1
AW-16,1,1
AW-18,1,1
AW-2,1,1
AW-22,1,1
AW-23,1,1
AW-24,1,1
AW-26,1,1
AW-28,1,1
AW-37,1,1
AW-6,1,1
AW-64,0,0
AW-66,0,0
AX-21,1,1
AX-25,1,1
AX-28,1,1
AX-3,1,1
AX-30,1,1
AX-4,1,1
AX-48,0,0
AX-58,0,0
AX-62,0,0
AX-66,0,0
AY-18,1,1
AY-19,1,1
AY-20,1,1
AY-22,1,1
AY-32,1,1
AY-33,1,1
AY-35,1,1
AY-49,0,1
AY-5,1,1
AY-52,1,1
AY-62,0,0
AY-64,0,0
AZ-11,1,1
AZ-13,1,1
AZ-15,1,1
AZ-17,1,1
AZ-20,1,1
AZ-33,1,1
AZ-35,1,1
AZ-39,1,1
AZ-4,1,1
AZ-44,1,1
AZ-50,1,1
AZ-51,1,1
AZ-6,1,1
AZ-65,0,0
AZ-8,1,1
B-29,0,1
B-34,1,1
B-35,1,1
B-46,1,1
B-48,1,1
B-63,1,1
B-75,0,1
B-77,1,1
B-80,1,1
B-81,1,1
B-87,1,1
B-91,1,1
B-95,1,1
B-96,1,1
BA-10,1,1
BA-18,1,1
BA-22,1,1
BA-23,1,1
BA-30,1,1
BA-31,1,1
BA-32,1,1
BA-44,1,1
BA-57,0,0
BA-61,0,0
BA-9,1,1
BB-13,1,1
BB-23,1,1
BB-28,1,1
BB-29,1,1
BB-3,1,1
BB-37,1,1
BB-38,1,1
BB-43,1,1
