,GRID_ID,Truth,Output
0,AA-13,0,1
1,AA-14,0,1
2,AA-20,1,1
3,AA-24,1,1
4,AA-29,1,1
5,AA-36,1,1
6,AA-38,1,1
7,AA-40,1,1
8,AA-44,1,1
9,AA-47,1,1
10,AA-51,0,0
11,AA-54,0,0
12,AA-62,0,0
13,AA-65,0,0
14,AA-66,0,0
15,AA-67,0,0
16,AA-84,0,1
17,AA-90,1,1
18,AB-12,0,1
19,AB-14,1,1
20,AB-15,1,1
21,AB-20,1,1
22,AB-21,1,1
23,AB-29,1,1
24,AB-30,1,1
25,AB-34,1,1
26,AB-37,1,1
27,AB-38,1,1
28,AB-39,1,1
29,AB-4,1,1
30,AB-51,0,0
31,AB-52,0,0
32,AB-53,0,0
33,AB-60,0,0
34,AB-65,0,0
35,AB-74,0,1
36,AB-84,0,1
37,AB-85,0,1
38,AB-89,1,1
39,AB-9,0,1
40,AB-90,1,1
41,AB-92,1,1
42,AB-95,1,1
43,AB-97,1,1
44,AB-98,0,1
45,AC-15,1,1
46,AC-16,1,1
47,AC-20,1,1
48,AC-26,1,1
49,AC-32,1,1
50,AC-34,1,1
51,AC-41,1,1
52,AC-49,0,1
53,AC-5,1,1
54,AC-50,0,1
55,AC-56,0,0
56,AC-59,0,0
57,AC-65,0,1
58,AC-68,0,1
59,AC-73,0,1
60,AC-80,0,1
61,AC-82,0,1
62,AC-94,1,1
63,AC-97,0,1
64,AD-13,1,1
65,AD-2,1,1
66,AD-22,1,1
67,AD-3,1,1
68,AD-40,1,1
69,AD-49,0,1
70,AD-50,0,1
71,AD-68,0,1
72,AD-7,1,1
73,AD-73,0,1
74,AD-77,0,1
75,AD-78,0,1
76,AD-79,0,1
77,AD-84,0,1
78,AD-86,1,1
79,AD-88,1,1
80,AD-89,1,1
81,AD-99,0,1
82,AE-10,1,1
83,AE-20,1,1
84,AE-34,1,1
85,AE-39,1,1
86,AE-4,1,1
87,AE-41,1,1
88,AE-70,0,1
89,AE-72,0,1
90,AE-83,1,1
91,AE-99,0,1
92,AF-15,1,1
93,AF-17,1,1
94,AF-19,1,1
95,AF-2,1,1
96,AF-22,1,1
97,AF-38,1,1
98,AF-39,1,1
99,AF-53,0,0
100,AF-60,0,0
101,AF-69,0,1
102,AF-76,0,1
103,AF-78,0,1
104,AF-79,0,1
105,AF-82,1,1
106,AF-86,1,1
107,AF-9,1,1
108,AF-94,1,1
109,AF-96,0,1
110,AF-97,0,1
111,AF-98,0,1
112,AG-16,1,1
113,AG-17,1,1
114,AG-25,1,1
115,AG-27,1,1
116,AG-32,1,1
117,AG-33,1,1
118,AG-37,1,1
119,AG-40,1,1
120,AG-41,1,1
121,AG-42,1,1
122,AG-44,1,1
123,AG-45,1,1
124,AG-58,0,0
125,AG-6,1,1
126,AG-63,0,0
127,AG-65,0,1
128,AG-66,0,1
129,AG-67,0,1
130,AG-75,0,1
131,AG-77,0,1
132,AG-79,1,1
133,AG-86,1,1
134,AG-93,1,1
135,AG-94,0,1
136,AG-95,0,1
137,AH-10,1,1
138,AH-12,1,1
139,AH-13,1,1
140,AH-18,1,1
141,AH-24,1,1
142,AH-34,1,1
143,AH-35,1,1
144,AH-40,1,1
145,AH-42,1,1
146,AH-44,1,1
147,AH-48,0,1
148,AH-5,1,1
149,AH-53,0,0
150,AH-59,0,0
151,AH-6,1,1
152,AH-60,0,0
153,AH-61,0,0
154,AH-68,0,1
155,AH-72,0,1
156,AH-79,1,1
157,AH-8,1,1
158,AH-82,1,1
159,AH-90,1,1
160,AH-93,0,1
161,AI-19,1,1
162,AI-24,1,1
163,AI-26,1,1
164,AI-34,1,1
165,AI-38,1,1
166,AI-4,1,1
167,AI-42,1,1
168,AI-44,1,1
169,AI-50,0,0
170,AI-51,0,0
171,AI-53,0,0
172,AI-59,0,0
173,AI-6,1,1
174,AI-61,0,0
175,AI-65,0,0
176,AI-7,1,1
177,AI-77,1,1
178,AI-80,1,1
179,AI-85,1,1
180,AI-90,1,1
181,AI-93,0,1
182,AI-94,0,1
183,AI-95,0,1
184,AJ-17,1,1
185,AJ-19,1,1
186,AJ-27,1,1
187,AJ-35,1,1
188,AJ-41,1,1
189,AJ-5,1,1
190,AJ-65,0,0
191,AJ-69,0,1
192,AJ-7,1,1
193,AJ-70,0,1
194,AJ-76,0,1
195,AJ-77,1,1
196,AJ-8,1,1
197,AJ-80,1,1
198,AJ-87,1,1
199,AJ-92,0,1
200,AJ-97,0,1
201,AK-16,1,1
202,AK-22,1,1
203,AK-34,1,1
204,AK-38,1,1
205,AK-46,0,1
206,AK-49,0,0
207,AK-5,1,1
208,AK-56,0,0
209,AK-57,0,0
210,AK-59,0,0
211,AK-6,1,1
212,AK-65,0,0
213,AK-78,1,1
214,AK-81,1,1
215,AL-12,1,1
216,AL-20,1,1
217,AL-22,1,1
218,AL-28,1,1
219,AL-30,1,1
220,AL-31,1,1
221,AL-39,1,1
222,AL-41,1,1
223,AL-45,0,1
224,AL-56,0,0
225,AL-71,0,1
226,AL-72,0,1
227,AL-75,0,1
228,AL-79,0,1
229,AL-81,0,1
230,AL-85,1,1
231,AL-86,1,1
232,AL-89,1,1
233,AL-92,0,1
234,AL-95,0,1
235,AM-16,1,1
236,AM-17,1,1
237,AM-23,1,1
238,AM-28,1,1
239,AM-29,1,1
240,AM-31,1,1
241,AM-34,1,1
242,AM-37,1,1
243,AM-40,1,1
244,AM-42,1,1
245,AM-46,0,1
246,AM-49,0,0
247,AM-5,1,1
248,AM-51,0,0
249,AM-56,0,0
250,AM-58,0,0
251,AM-59,0,0
252,AM-60,0,0
253,AM-66,0,0
254,AM-68,0,0
255,AM-72,0,1
256,AM-81,0,1
