GRID_ID,Truth,Output
EB-224,0,0
DW-223,0,0
DX-223,0,0
DZ-222,0,0
EC-222,0,0
DS-221,0,0
DY-221,0,0
EA-221,0,0
ED-221,0,0
DN-220,0,0
DO-220,0,0
DV-220,0,0
DW-220,0,0
DY-220,0,0
DE-219,1,1
DF-219,1,1
DL-219,1,1
DN-219,0,1
DP-219,0,0
DS-219,0,0
DU-219,0,0
DV-219,0,0
DZ-219,0,0
EC-219,0,0
ED-219,0,0
CY-218,1,1
DC-218,1,1
DD-218,1,1
DJ-218,1,1
DU-218,0,0
EB-218,0,0
CR-217,1,1
CW-217,1,1
DC-217,1,1
DG-217,1,1
DM-217,1,1
DN-217,1,1
EB-217,0,0
EC-217,0,0
ED-217,0,0
CR-216,1,1
DE-216,1,1
DJ-216,1,1
DK-216,1,1
DT-216,0,0
DV-216,0,0
DY-216,0,0
DZ-216,0,0
ED-216,0,0
EE-216,0,0
CN-215,1,1
CO-215,1,1
CU-215,1,1
CW-215,1,1
CZ-215,1,1
DA-215,1,1
DF-215,1,1
DG-215,1,1
DM-215,1,1
DR-215,0,0
CG-214,1,1
CM-214,1,1
CN-214,1,1
CO-214,1,1
CP-214,1,1
DB-214,1,1
DM-214,1,1
EE-214,0,0
CA-213,1,1
CN-213,1,1
CO-213,1,1
CQ-213,1,1
DB-213,1,1
DF-213,1,1
DH-213,1,1
DN-213,1,1
DO-213,1,1
DV-213,0,0
ED-213,0,0
EE-213,0,0
CM-212,1,1
DC-212,1,1
DI-212,1,1
DM-212,1,1
DT-212,0,0
DU-212,0,0
DZ-212,0,0
BT-211,1,1
CC-211,1,1
CD-211,1,1
CM-211,1,0
CQ-211,1,0
CR-211,1,1
CX-211,1,1
CZ-211,1,1
DA-211,1,1
DC-211,1,1
DI-211,1,1
DR-211,1,1
DS-211,0,0
DW-211,0,0
BH-210,0,1
BJ-210,1,1
BN-210,1,1
BP-210,1,1
BS-210,1,1
CC-210,1,1
CO-210,1,1
CQ-210,1,1
CW-210,1,1
DC-210,1,1
DG-210,1,1
DO-210,1,1
DT-210,0,0
BD-209,0,0
BR-209,1,0
BU-209,1,1
BY-209,1,1
CB-209,1,1
CE-209,1,1
CH-209,1,1
CI-209,1,1
CK-209,1,1
CS-209,1,1
CV-209,1,1
CX-209,1,1
DE-209,1,1
DG-209,1,1
DI-209,1,1
DN-209,1,1
EG-209,0,0
BB-208,0,1
BD-208,0,1
BE-208,0,1
BH-208,1,1
BJ-208,1,1
BY-208,1,1
CB-208,1,1
CH-208,1,1
CO-208,1,1
CQ-208,1,1
CW-208,1,1
CY-208,1,1
DC-208,1,1
DF-208,1,1
DG-208,1,1
DI-208,1,1
DK-208,1,1
DL-208,1,1
DN-208,1,1
DS-208,1,1
EA-208,0,0
BA-207,0,0
BC-207,0,0
BQ-207,1,1
BR-207,1,1
BU-207,1,1
BY-207,1,1
CB-207,1,1
CE-207,1,1
CK-207,1,1
CO-207,1,1
CP-207,1,1
CT-207,1,1
CY-207,1,1
DB-207,1,1
DC-207,1,1
DV-207,0,0
EC-207,0,0
ED-207,0,0
EG-207,0,0
AU-206,0,0
AZ-206,0,1
BA-206,0,1
BG-206,1,1
BK-206,1,1
BQ-206,1,1
BV-206,1,1
CF-206,1,1
CH-206,1,1
CM-206,1,1
CP-206,1,1
DE-206,1,1
DJ-206,1,1
DN-206,1,1
DP-206,1,1
DZ-206,0,0
EA-206,0,0
EB-206,0,0
EC-206,0,0
EF-206,0,0
AJ-205,0,1
AO-205,0,0
AR-205,0,0
AT-205,0,0
AV-205,0,0
AW-205,0,0
AZ-205,0,1
BE-205,0,1
BL-205,1,1
BP-205,1,1
CB-205,1,1
CD-205,1,1
CE-205,1,1
CP-205,1,1
CZ-205,1,1
DH-205,1,1
DI-205,1,1
DJ-205,1,1
DK-205,1,1
DL-205,1,1
DM-205,1,1
DO-205,1,1
DW-205,0,0
DY-205,0,0
DZ-205,0,0
EC-205,0,0
AI-204,0,0
AJ-204,0,0
AM-204,0,0
AN-204,0,0
AQ-204,0,0
AT-204,0,1
BD-204,0,1
BJ-204,1,1
BS-204,1,1
BZ-204,1,1
CE-204,1,1
CL-204,1,0
CX-204,1,1
DL-204,1,1
DQ-204,1,1
DU-204,0,0
DZ-204,0,0
EH-204,0,0
AC-203,0,0
AD-203,0,0
AG-203,0,1
AL-203,0,0
AM-203,0,0
AT-203,0,1
BD-203,1,1
BE-203,1,1
BH-203,1,1
BK-203,1,1
BL-203,1,1
BN-203,1,1
BR-203,1,1
BS-203,1,1
CB-203,1,1
CC-203,1,1
CF-203,1,1
CM-203,1,0
CN-203,1,1
CV-203,1,1
DA-203,1,1
DG-203,1,1
DJ-203,1,1
DK-203,1,1
DM-203,1,1
DO-203,1,1
DP-203,1,1
DT-203,1,1
V-202,0,0
AF-202,0,1
AG-202,0,0
AN-202,0,1
AQ-202,0,0
AZ-202,0,1
BH-202,1,1
BJ-202,1,1
BL-202,1,1
BO-202,1,1
BV-202,1,1
BY-202,1,1
CD-202,1,0
CI-202,1,1
CN-202,1,1
CR-202,1,1
CV-202,1,1
DF-202,1,1
DL-202,1,1
DV-202,0,0
DX-202,0,0
DZ-202,0,0
EH-202,0,0
Q-201,0,0
W-201,0,0
AC-201,0,0
AG-201,0,0
AH-201,0,1
AV-201,0,1
BA-201,0,1
BI-201,1,1
BM-201,1,0
BP-201,1,1
BR-201,1,1
BT-201,1,1
BY-201,1,1
CD-201,1,1
CJ-201,1,1
CK-201,1,1
CW-201,1,1
DK-201,1,1
DN-201,1,1
ED-201,0,0
EE-201,0,0
Q-200,0,1
T-200,0,1
V-200,0,1
W-200,0,1
AN-200,0,1
AO-200,0,1
AR-200,0,0
AV-200,0,1
BA-200,1,1
BH-200,1,1
BS-200,1,1
BU-200,1,1
BZ-200,1,1
CB-200,1,1
CH-200,1,1
CU-200,1,1
DA-200,1,1
DH-200,1,1
DI-200,1,1
DP-200,1,1
DR-200,1,1
DU-200,1,1
X-199,0,1
AB-199,0,0
AC-199,0,0
AE-199,0,1
AF-199,0,1
AH-199,0,1
BE-199,1,1
BF-199,1,1
BK-199,1,1
BM-199,1,1
BP-199,1,1
BS-199,1,1
