GRID_ID,Truth,Output
AH-104,1,1
AH-108,1,1
AH-110,1,1
AH-117,1,1
AH-130,0,1
AH-135,0,0
AH-159,1,1
AH-162,1,1
AH-170,1,1
AH-171,1,1
AH-176,1,1
AH-177,1,1
AH-179,1,1
AH-181,1,1
AH-92,1,1
AH-94,1,1
AH-98,1,1
AI-102,1,1
AI-107,1,1
AI-109,1,1
AI-111,1,1
AI-127,1,1
AI-128,1,1
AI-130,0,1
AI-135,0,0
AI-138,0,0
AI-158,1,1
AI-160,1,1
AI-172,1,1
AI-174,1,1
AI-176,1,1
AI-181,1,1
AI-28,0,0
AI-29,0,0
AI-37,0,0
AI-41,0,0
AI-46,0,0
AI-47,0,0
AI-49,0,0
AI-65,0,0
AI-73,1,1
AI-75,1,1
AI-81,1,1
AI-83,1,1
AI-86,1,1
AI-87,1,1
AI-92,1,1
AI-93,1,1
AI-95,1,1
AJ-102,1,1
AJ-104,1,1
AJ-111,1,1
AJ-113,1,1
AJ-114,1,1
AJ-122,1,1
AJ-124,1,1
AJ-128,1,1
AJ-129,0,1
AJ-130,0,0
AJ-131,0,0
AJ-135,0,0
AJ-142,0,1
AJ-144,1,1
AJ-158,1,1
AJ-163,1,1
AJ-165,1,1
AJ-172,1,1
AJ-174,1,1
AJ-34,0,0
AJ-35,0,0
AJ-51,0,0
AJ-60,0,0
AJ-61,0,0
AJ-64,0,0
AJ-72,1,1
AJ-73,1,1
AJ-74,1,1
AJ-76,1,1
AJ-77,1,1
AJ-85,1,1
AJ-86,1,1
AJ-95,1,1
AJ-97,1,1
AK-115,1,1
AK-121,1,1
AK-128,0,0
AK-132,0,0
AK-138,0,0
AK-144,1,1
AK-146,1,1
AK-154,1,1
AK-164,1,1
AK-170,1,1
AK-174,1,1
AK-28,0,0
AK-29,0,0
AK-31,0,0
AK-46,0,0
AK-47,0,0
AK-48,0,0
AK-50,0,0
AK-51,0,0
AK-69,0,0
AK-71,1,1
AK-74,1,1
AK-78,1,1
AK-83,1,1
AK-90,1,1
AK-93,1,1
AL-101,1,1
AL-108,1,1
AL-111,1,1
AL-112,1,1
AL-119,1,1
AL-121,1,1
AL-122,1,1
AL-126,1,1
AL-136,0,0
AL-137,0,0
AL-147,1,1
AL-150,1,1
AL-151,1,1
AL-167,1,1
AL-168,1,1
AL-171,1,1
AL-174,1,1
AL-181,1,1
AL-27,0,0
AL-33,0,0
AL-36,0,0
AL-38,0,0
AL-48,0,0
AL-64,0,0
AL-68,0,0
AL-69,0,0
AL-70,0,1
AL-72,1,1
AL-75,1,1
AL-83,1,1
AL-84,1,1
AL-88,1,1
AL-98,1,1
AM-107,1,1
AM-113,1,1
AM-118,1,1
AM-122,1,1
AM-125,1,1
AM-127,0,0
AM-130,0,0
AM-160,1,1
AM-164,1,1
AM-170,1,1
AM-172,1,1
AM-174,1,1
AM-177,1,1
AM-29,0,0
AM-30,0,0
AM-32,0,0
AM-33,0,0
AM-35,0,0
AM-36,0,0
AM-38,0,0
AM-43,0,0
AM-45,0,0
AM-47,0,0
AM-52,0,0
AM-54,0,0
AM-56,0,0
AM-57,0,0
AM-63,0,0
AM-67,0,0
AM-71,0,0
AM-75,1,1
AM-79,1,1
AM-82,1,1
AM-93,1,1
AM-97,1,1
AN-105,1,1
AN-110,1,1
AN-113,1,1
AN-120,1,1
AN-127,0,0
AN-130,0,0
AN-140,0,0
AN-142,0,0
AN-143,0,0
AN-155,1,1
AN-177,1,1
AN-179,1,1
AN-39,0,0
AN-45,0,0
AN-51,0,0
AN-55,0,0
AN-57,0,0
AN-61,0,0
AN-73,0,1
AN-74,1,1
AN-75,1,1
AN-77,1,1
AN-81,1,1
AN-88,1,1
AO-100,1,1
AO-107,1,1
AO-108,1,1
AO-111,1,1
AO-112,1,1
AO-115,1,1
AO-120,1,1
AO-122,1,1
AO-123,1,1
AO-136,0,0
AO-138,0,0
AO-143,0,1
AO-144,1,1
AO-146,1,1
